"age_group","x.n","x.mean","x.median"
"(0,59]",2.197000e+03,7.176708e-02,6.140351e-02
"(59,69]",2.242000e+03,9.285113e-02,7.894737e-02
"(69,79]",2.120000e+03,1.269001e-01,1.018519e-01
"(79,89]",8.350000e+02,1.815623e-01,1.346154e-01
"(89,Inf]",9.200000e+01,2.926719e-01,2.606838e-01
