"sample","n","fi_n_valid_median","fi_median","fi_mean","fi_p95","fi_max","fi_ge_0_7_n","fi_ge_0_7_rate","skewness","age_spearman"
"all",17404,42,0.158536585365854,0.192374674372105,0.457317073170732,0.846153846153846,29,0.00166628361296254,1.35407188045801,0.342106200658869
"age_60_plus",7551,42,0.2,0.233373114723795,0.524099883855981,0.807692307692308,23,0.00304595417825454,1.06479428947743,0.224978794820581
