"metric","value"
"raw_rows",54550
"age60_rows",36604
"fi_eligible_all",54177
"fi_eligible_age60",36361
"fi_median_all",0.148648648648649
"fi_median_age60",0.168918918918919
"fi_min",0
"fi_max",0.973684210526316
"item_count",41
"threshold",33
