"model","n","events","event_rate","c_index","c_lo","c_hi","oe","cal_intercept","cal_slope","brier","ipa"
"Main (full CC)",7095,3282,0.462579281183932,0.838948804508391,0.830212399432367,0.847159139823022,1.24566371580356,0.594869105512565,0.938154355640964,0.174974445522178,0.296159839697984
"Main (edu CC)",7069,3268,0.462300183901542,0.838944979047902,0.82889196335544,0.847683032097523,1.24687996456931,0.597128672516645,0.937895198136217,0.17505820509019,0.295763521642111
"SA-3 (+edu)",7069,3268,0.462300183901542,0.838001023695046,0.828139357119558,0.84674697290512,1.2401558896696,0.584003874494397,0.931494400715911,0.175041813118138,0.295829464421918
