"b","optimism"
1,-0.00102589614204474
2,-0.00686514001919025
3,0.00753708733516112
4,-0.00630569899651257
5,-0.00377410276407175
6,-0.0122965081188159
7,-0.00917879578620118
8,-0.00786000867456116
9,0.0130065560329815
10,0.00861355588437407
11,0.00937677970916628
12,0.0103336717348174
13,-0.0069699058617293
14,0.0154364436380021
15,-0.00171681271353963
16,0.0115589221826569
17,0.0219724782353685
18,-0.0102807830232677
19,-0.0089898678566227
20,0.0038573830040991
21,0.00532892115924788
22,-0.00145712723968106
23,0.0152975981047545
24,-0.00599565665407087
25,0.00213627050159915
26,-0.00928785827050527
27,-0.0135381477343962
28,0.0170600634224376
29,-0.0071493981337245
30,0.00774891345868167
31,0.00475732805882356
32,-0.000875012239463846
33,0.0140307343986301
34,0.00685719469922419
35,0.0116948537336614
36,-0.0159379202517321
37,-0.00807349137711399
38,-0.00260793760403388
39,0.00875002287262339
40,-0.0130838848162056
41,0.000730747470400583
42,0.00405408058374934
43,0.000639755111120466
44,-0.00643034144183363
45,0.00223822080362968
46,-0.00671696522442422
47,0.00223792452534799
48,0.0203813809908325
49,0.00214622956781485
50,0.0110888733404956
51,-0.00830748161408479
52,0.00826576579147131
53,-0.0135173394371325
54,-0.000233317519535481
55,-0.00762527402032398
56,-0.00921481849390893
57,0.00127839511281902
58,0.00637734958405645
59,-0.0062646670673947
60,-0.00562316852314459
61,0.00257768592598173
62,0.0185496540970248
63,-0.00271575552391035
64,-0.00358967575903635
65,0.0133987859438566
66,-0.00774574670890193
67,0.0111326157179316
68,0.000971970688893653
69,-0.00486631839463125
70,-0.00154810179683507
71,0.00305607348181824
72,0.00046095945766933
73,-0.00485491269477556
74,-0.0038968115961372
75,-0.0178290374980348
76,0.0134658377094996
77,-0.00343364231054499
78,-0.00197303655226289
79,-0.00102267811404466
80,-0.00198994551119769
81,0.00368198293495769
82,-0.00118204952980927
83,0.000221725978658993
84,-0.0241029953932235
85,-0.00431794408540076
86,0.00331466527909419
87,-0.000440401818438074
88,0.0140996169130562
89,-0.0035906540211742
90,0.0126266885450144
91,0.00257656358668823
92,-0.00556024770721542
93,0.00480207417690837
94,0.00518300377720404
95,-0.00149065595248077
96,0.00700750215959478
97,-0.00846591165540334
98,0.0130851991745908
99,-0.00259551597438656
100,-0.000474629928641335
101,0.00302923539425004
102,0.0129071186646718
103,-0.00185443889633752
104,-0.00215639953547009
105,0.0028890295728734
106,0.00595782104038245
107,0.000769415361008607
108,-0.000837180980967744
109,0.00273740977681181
110,0.0014098899541326
111,-0.00306066208790212
112,-0.00159758174202917
113,-0.00122954234648087
114,-0.000754336240418318
115,0.00108295919027745
116,-0.010751616811427
117,0.000808848976654453
118,0.0163141083896482
119,-0.00123393590817078
120,0.00786670163181591
121,-0.0125155664464324
122,-0.0036051027513575
123,0.00674427084190388
124,-0.00497101631863683
125,0.00463929380840855
126,-0.00606151060245974
127,0.00720641652248022
128,-0.00935657826396685
129,0.00213175625516038
130,0.00262047250016539
131,-0.0104992402834069
132,-0.00210677484676502
133,0.0148315682809222
134,0.00402544693609352
135,0.00327546781128285
136,0.00290415361136787
137,-0.00669369132244457
138,-0.00367140337919691
139,-0.00130299148243807
140,0.00864025464807694
141,-0.0153835204168943
142,-0.00173747056885731
143,0.00152222282120329
144,0.00294045980461743
145,-0.000292808740036454
146,-0.010973177285225
147,0.00134084784693267
148,-0.0010808316320321
149,-0.00312122222272304
150,0.0141418386037985
151,0.00364473317415459
152,0.00962544401244347
153,0.0184838300154191
154,0.00134065416871931
155,-0.016103115280259
156,-0.0121926497390707
157,0.00064827055145944
158,-0.000406196076255139
159,-0.000210489757642374
160,0.00564924421602819
161,-0.0202002226436901
162,-0.0119076910206852
163,0.00803772920073009
164,-0.00112057802278065
165,-0.00409296250540214
166,0.00988967823856568
167,0.00222492583782963
168,-0.00917908402624257
169,0.00170807632286085
170,-0.00723200885533704
171,0.00467249558895255
172,-0.00954771994523307
173,0.0024657395721891
174,0.00147487756972642
175,-0.0116692843658663
176,0.024070281640141
177,-0.0124394004222231
178,0.00835052459112673
179,-0.0120375474189661
180,-0.00153183500093734
181,0.00248447277177299
182,0.00200951863202337
183,0.00918215355861784
184,-0.013129371283169
185,0.00926092039479132
186,0.022662227243629
187,0.00290365561446448
188,-0.00362007123039798
189,-0.00687434747208049
190,-0.00683448629536643
191,-0.00607667464778583
192,0.00547081400518479
193,0.00343765984099742
194,-0.00119839947888734
195,-0.00239056692333206
196,-0.000497935097921953
197,-0.0044914462750657
198,0.00219619057378606
199,0.0088390020418706
200,0.00470290962001496
