"decile","predicted","observed","n"
1,0.0404785801319469,0.0492957746478873,710
2,0.0684497864039203,0.123943661971831,710
3,0.103714788594794,0.154929577464789,710
4,0.159700108939358,0.26056338028169,710
5,0.238303247004363,0.402816901408451,710
6,0.341081677571882,0.521861777150917,709
7,0.472247757469124,0.65867418899859,709
8,0.619671045262334,0.748942172073343,709
9,0.764257136950853,0.818053596614951,709
10,0.902639670314838,0.888575458392102,709
