"model","term","estimate","std_error","statistic","p_value"
"Model_A","(Intercept)",-10.7963918627025,0.354924302079495,-30.4188577661396,3.09376275895673e-203
"Model_A","age",0.110824414684502,0.00474841157710989,23.3392604842303,1.77165730246299e-120
"Model_A","female",-0.352331116731587,0.0770049599103454,-4.57543406479006,4.7523362534673e-06
"Model_A","factor(period)2",0.423290511553856,0.0767610857496424,5.51438932136038,3.49993074159041e-08
