"analysis","n","events","c_index","oe_ratio","cal_slope","brier","ipa"
"unweighted_aim1",7095,3282,0.8389,1.2473,0.9393,0.17509,0.2957
"ipcw_weighted",7095,3282,0.8397,1.2547,0.9458,0.17399,0.2967
