"term","estimate","std_error","z_value","p_value"
"(Intercept)",0.155824168061574,0.212525794434939,0.733201202592266,0.463435721987037
"fi_full",0.651505125950182,0.18395096305331,3.54173261795521,0.000397508191170291
"age",0.0115246544582023,0.00273898098382772,4.20764310750951,2.58047984629011e-05
"female",-0.0784641618799886,0.0517687740061292,-1.51566583111856,0.129603871750854
