"model","n","events","event_rate","c_index","c_lo","c_hi","oe","cal_intercept","cal_slope","brier","ipa"
"SA-1a: FI_core->CLHLS",7035,3233,0.45955934612651,0.834578818220114,0.826026177299041,0.8429713192279,1.15547966795069,0.391197571375589,0.945635569948927,0.171245117666732,0.310509026978026
"SA-1b: pool->HRS L0",7823,1886,0.241083983126678,0.777727512154397,0.765361632774156,0.790354480732677,0.97857940218051,-0.0370003861147936,0.92710350045787,0.145643610250316,0.203970139946205
"SA-1b: pool->HRS L1",7823,1886,0.241083983126678,0.777727512154397,NA,NA,0.999999999994316,3.86859369878552e-16,0.927103500457871,0.145567945362078,0.204383694034102
"SA-1b: pool->SHARE L0",36352,3165,0.087065360915493,0.772511538926027,0.763733001887204,0.781404906386591,0.633410800819188,-0.615794987554946,0.883413202303533,0.0750772000846505,0.0554542952180757
"SA-1b: pool->SHARE L1",36352,3165,0.087065360915493,0.772511538926027,NA,NA,0.999999999825988,-1.28036842099953e-15,0.883413202303531,0.0703488908533838,0.114941119050585
"SA-1b: pool->MHAS L0",8982,908,0.101091071030951,0.724273078648056,0.707375940665702,0.743226913735991,0.818743547286041,-0.265361312013714,0.764823479546631,0.0855620355635962,0.0584299929359083
"SA-1b: pool->MHAS L1",8982,908,0.101091071030951,0.724273078648056,NA,NA,0.999999999995825,-3.34760430106844e-15,0.764823479546625,0.0840307234468191,0.075281363419486
